Response ID,Time Started,Date Submitted,Country,City,Region,Postal,City Name,State,Grade,Other:Grade,Gender,Ethnicity,How can a company know it made a profit?,"If you take out a loan from the bank, you must:","Your company made 10 of the same bracelet. Your total expenses, including bracelet materials, was $80. To make a profit how much should each bracelet cost?",What does a venture capitalist receive in exchange for investing in a company?,Why is it important to keep careful records of all your finances?,"If a company sells shares of stock, the company is:",What is the profit equation?,Money a company earns from selling a product or service is called:,The most important goal of marketing is to:,"When developing a product, during the manufacturing stage the company needs to:","When deciding on a price for a product, what factor(s) should a company consider?",,I make an effort to get along with my teammates.,I am confident speaking in front of others.,I think about the advantages and disadvantages of a choice before making a decision.,The things I learn in school will help me in the real world.,I am confident leading others.,I listen to other people's ideas while working in a group.,How I say something is just important as what I say.,I am able to motivate others.,I analyze the effects of my decisions.,I think that math is important.,I discuss my ideas with others.,I can come to a compromise with others when we disagree.,I develop different ways of solving a problem.,I take charge on work that needs to get done.,I think learning is fun.,I contribute and pitch in when working in a group.,What have you learned about teamwork from BizWorld?,What have you learned about leadership from BizWorld?,What advice would you give to a new student about to begin BizWorld?,What have you learned about managing money from BizWorld?,Score
2948,10/16/2014 14:06,10/16/2014 14:24,United States,Los Angeles,CA,90001,Santa Clarita,California,8,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$5 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Profit.,All of the above.,Promote the product to your customers.,All of the above.,,4,2,4,4,4,5,4,3,4,4,4,4,4,4,3,4,that team work is better then by yourself,that you need leadership for a team,that work as a team and think of new ways to make braclets. Just try your best and have fun,that u need to pay less to get more money,45
2950,10/16/2014 14:06,10/16/2014 14:24,United States,Los Angeles,CA,90001,Santa Clarita,California,8,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,Introduce your customers to your logo and slogan.,Sell the product to your customers.,How popular the item/style might be.,,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,it helps you so that if you work with your friends you will have a idea about selling.,that its good to show you so that you can show other.,that biz world is fun and it can help you when you grow up.,that the money you spend you will always have to keep track of.,27
2951,10/16/2014 14:06,10/16/2014 14:15,United States,Los Angeles,CA,90001,santa clarita,California,8,,Male,Asian/Pacific Islander,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Rent - Interest = Profit (or Loss),Cash on hand.,Make sure your company has the best commercial.,Sell the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,that its really fun when you sell the stuff,that its really helpful when your team doesnt listen and that needs help  ,that to just have fun what you are going to learn,that you have to be really careful with the company money ,27
2952,10/16/2014 14:06,10/16/2014 14:22,United States,Los Angeles,CA,90001,santa clarita,California,8,,Female,Hispanic,It sold all it's products,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,All of the above.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Profit.,All of the above.,Make the product quickly and with limited waste.,The amount of time it took to make the product.,,4,4,3,4,4,3,4,5,4,5,4,3,4,3,5,4,"I've learned that teamwork will help better because you have more ideas to combine and the more hands you have, the more the team/group will get done.",If you work others will work and if you fool around others with follow along and nothing will get done.,Work hard but have fun.     ,I've learned that you have to be responsible if your taking care of money. Don.t lose the money.,36
2953,10/16/2014 14:08,10/16/2014 14:21,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Male,Decline to Respond,It didn't sell too many shares of stock to the venture capitalists,Repay the balance of the loan and interest.,$9 ,Decision-making power for product design.,You can prevent your company from losing money.,Losing a part of the ownership of the company in exchange for money.,Expenses x Revenue = Profit,Profit.,All of the above.,Promote the product to your customers.,All of the above.,,5,5,3,5,5,5,5,5,3,4,5,5,5,5,5,5,That when working together can make you work faster and have more ideas and make new friends,You have to listen to your team mates and not just do what you want its about agreeing on a idea,I would say try not to be to quiet your company will like what ever you say and i would also say have fun,I learned how to make a business and how to have team work with people you might not know  ,45
2954,10/16/2014 14:05,10/16/2014 14:16,United States,Los Angeles,CA,90001,Santa Clarita,California,8,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Just pay interest on the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,You will be better able to make informed financial decisions.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Cash on hand.,Make sure your company has the best commercial.,Sell the product to your customers.,The amount of time it took to make the product.,,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,is when you work together as a team it good for you,is to be a leadership,to begin BizWorld,is to get a lower price of getting bizbuck,18
2955,10/16/2014 14:06,10/16/2014 14:25,United States,Los Angeles,CA,90001,santa clarita,California,7,,Female,Hispanic,It sold all it's products,Repay the balance of the loan and interest.,$4 ,Decision-making power for product design.,You can prevent your company from losing money.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Revenue.,Demonstrate why your company and its products are special.,Sell the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,4,3,4,5,3,3,3,3,4,5,3,4,3,3,1,3,that people can go to better things,a lot but  its hard, its kind of fun but not realy,to count right,27
2956,10/16/2014 14:06,10/16/2014 14:24,United States,Los Angeles,CA,90001,Santa Clarita,California,8,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Decide how the product will look.,All of the above.,,5,3,3,4,4,5,4,4,4,4,4,4,5,4,4,4,"Team work is highly important, if you can't agree with each other or hear each other out, you wont get anything done.","It's important to know what you and your team will be doing. You need someone to help organize and instruct others, but also take in others suggestions on how we should work.","Be cautious, think about your decisions and how they will affect the business and your group. Don't be afraid to put your ideas out there, be creative! BizWorld isn't about worrying and freaking out, have fun with it too but have thought into the meaning.","I've learned not to spend too much on materials, and to think of what your prices your products should be, designs and slogans are pretty hard to come up with, even if they seem simple. Working with the team may be one of the most important things, if you can't all agree (like  I said earlier) nothing can get done and you wont get anywhere.",90
2958,10/16/2014 14:06,10/16/2014 14:19,United States,Los Angeles,CA,90001,santa clarita,California,8,,Male,Decline to Respond,It sold all it's products,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,You will be better able to make informed financial decisions.,Taking out a loan from the venture capitalist.,Rent - Interest = Profit (or Loss),Profit.,Make sure your company has the best commercial.,Sell the product to your customers.,All of the above.,,4,2,2,1,2,1,1,4,5,4,2,1,1,2,2,1,lerned about cool,cool stuf,a book,money sell ,36
2959,10/16/2014 14:06,10/16/2014 14:27,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Give the bank shares of stock.,$4 ,Shares of stock in the company and a vote in decision-making.,You will be better able to make informed financial decisions.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Revenue.,Demonstrate why your company and its products are special.,Sell the product to your customers.,All of the above.,,5,2,2,5,3,4,4,4,4,4,4,4,2,2,4,4,When you teamwork you get to do things faster and easier with your team mates.,I have learned about leadership is to be confident with others.,I would give advise by telling her/he to work hard and dont give up that BizWorld is fun.,"Managing money is something you would look forward to, i first i thought it was hard but then it actually wasent.",36
2960,10/16/2014 14:06,10/16/2014 14:20,United States,Los Angeles,CA,90001,Santa Clarita,California,8,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Promote the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,5,3,3,4,5,4,4,4,3,4,4,2,4,4,1,3,You can make profit when working together,you can make a difference,you need to learn how to work together,you need to keep it ballanced,54
2961,10/16/2014 14:06,10/16/2014 14:22,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Female,Asian/Pacific Islander,It earned the most revenue during sales,Just repay balance of the loan.,$8 ,A portion of company products and services.,All of the above.,Receiving money with no other requirements.,Rent - Interest = Profit (or Loss),Capital.,All of the above.,Sell the product to your customers.,How popular the item/style might be.,,4,4,5,4,3,5,3,4,3,5,5,3,4,4,3,4,Teamwork is important because its fun,I don't remember. ,Good Luck!,You get money,18
